Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
004990	KR7004990008	롯데지주	KOSPI		26750	2	-450	-1.65	27000	27150	26700	134479	3610753650	2806322089750	104909237	STK
383220	KR7383220001	F&F	KOSPI		71600	2	-1300	-1.78	71600	73800	71400	79249	5737759100	2742786570000	38307075	STK
000120	KR7000120006	CJ대한통운	KOSPI		120000	1	2600	2.21	116300	120000	116000	62962	7495881100	2737481280000	22812344	STK
001450	KR7001450006	현대해상	KOSPI		30500	2	-400	-1.29	30550	30900	30400	315295	9643584400	2726700000000	89400000	STK
008930	KR7008930000	한미사이언스	KOSPI		38200	1	500	1.33	38500	39100	37950	345557	13329014050	2672355108000	69956940	STK
000250	KR7000250001	삼천당제약	KOSDAQ	중견기업부	112400	1	1000	0.9	107500	114500	98900	4346370	463600028700	2636619852800	23457472	KSQ
052690	KR7052690005	한전기술	KOSPI		66500	1	900	1.37	64800	67000	64800	111253	7341030200	2541630000000	38220000	STK
007660	KR7007660004	이수페타시스	KOSPI		40150	2	-1800	-4.29	40300	41400	39600	2249642	90701762350	2539343722850	63246419	STK
010620	KR7010620003	현대미포조선	KOSPI		62400	2	-400	-0.64	62000	62900	61900	154805	9637717300	2492390097600	39942149	STK
005290	KR7005290002	동진쎄미켐	KOSDAQ	우량기업부	48450	1	450	0.94	46750	48600	46700	1231625	59078755300	2491032234300	51414494	KSQ
138930	KR7138930003	BNK금융지주	KOSPI		7710	3	0	0.0	7660	7800	7660	474900	3675999650	2483301856980	322088438	STK
357780	KR7357780006	솔브레인	KOSDAQ	우량기업부	314500	1	2500	0.8	305000	317500	304500	31635	9852582500	2446359007000	7778566	KSQ
036460	KR7036460004	한국가스공사	KOSPI		26400	1	100	0.38	26400	26600	26100	152647	4030454350	2437063200000	92313000	STK
088350	KR7088350004	한화생명	KOSPI		2805	2	-55	-1.92	2845	2860	2805	1441642	4063872950	2436226650000	868530000	STK
112610	KR7112610001	씨에스윈드	KOSPI		56900	1	500	0.89	56000	58400	54900	620883	35391685500	2399552830700	42171403	STK
175330	KR7175330000	JB금융지주	KOSPI		12250	2	-220	-1.76	12290	12550	12250	351585	4327397910	2389769175500	195083198	STK
001440	KR7001440007	대한전선	KOSPI		12790	1	1370	12.0	12630	13820	12010	60912237	781989515220	2384660967000	186447300	STK
008770	KR7008770000	호텔신라	KOSPI		59800	3	0	0.0	59200	60500	59200	218812	13105429300	2347037635800	39248121	STK
002790	KR7002790004	아모레G	KOSPI		28450	2	-600	-2.07	28750	29450	28300	165438	4755391300	2345935221000	82458180	STK
000150	KR7000150003	두산	KOSPI		141800	2	-5900	-3.99	145000	145900	137000	181649	25586511400	2343079803000	16523835	STK
014680	KR7014680003	한솔케미칼	KOSPI		206500	2	-1000	-0.48	203500	209500	202500	64697	13252050000	2340717767500	11335195	STK
004370	KR7004370003	농심	KOSPI		379500	2	-5500	-1.43	383000	385000	378500	16191	6171056500	2308362639000	6082642	STK
002380	KR7002380004	KCC	KOSPI		258500	1	1500	0.58	255500	258500	252000	14607	3737429000	2297152753500	8886471	STK
081660	KR7081660003	휠라홀딩스	KOSPI		37300	2	-700	-1.84	37500	38000	37300	94146	3541029400	2266057880600	60752222	STK
012750	KR7012750006	에스원	KOSPI		58800	2	-200	-0.34	58500	59500	58300	20767	1222043700	2234351666400	37999178	STK
030000	KR7030000004	제일기획	KOSPI		19180	1	30	0.16	18960	19270	18950	144239	2761386300	2206490695500	115041225	STK
020150	KR7020150009	롯데에너지머티리얼즈	KOSPI		47400	2	-550	-1.15	47050	49100	47050	331684	15897453650	2185653579000	46110835	STK
028670	KR7028670008	팬오션	KOSPI		4020	2	-40	-0.99	4020	4060	3995	2226473	8929578945	2148969438240	534569512	STK
095340	KR7095340006	ISC	KOSDAQ	우량기업부	100300	1	1800	1.83	96600	102600	96000	450469	44911138200	2126064917400	21197058	KSQ
007070	KR7007070006	GS리테일	KOSPI		20100	1	50	0.25	20000	20400	20000	212208	4283099900	2104830232200	104717922	STK
000880	KR7000880005	한화	KOSPI		28000	2	-850	-2.95	28450	29350	28000	672919	19224243800	2098844580000	74958735	STK
051915	KR7051911006	LG화학우	KOSPI		271000	2	-5000	-1.81	271500	274000	270000	14032	3807448000	2083664800000	7688800	STK
282330	KR7282330000	BGF리테일	KOSPI		117000	2	-100	-0.09	116800	118800	116700	49946	5869310300	2022217002000	17283906	STK
